gene 2h 6h 16h 24h 48h 72h
CHAF1B 93.1556683323 78.1148025874 65.6179587879 114.818972557 74.3720550817 41.3283711534
PMAIP1 291.699932218 1161.13497298 491.844999192 246.406439429 214.575276287 204.122738771
KIAA0182 107.583507918 39.8207868282 89.1660986876 186.55891084 146.0051735 146.270100288
I_928393 29.1068702812 111.680837458 77.8611678967 128.555071532 114.157709699 76.1451985295
CAPN2 75.9251771168 69.4764370241 35.8668076735 28.4999061379 48.3599998425 43.8487250669
I_960328 96.7064520776 400.034579558 232.461793652 158.691260966 157.743627758 190.528599994
PDLIM1 106.050219359 75.7023464808 71.5680073633 89.2435390205 137.569329583 120.123978684
KIAA0210 82.1244320899 92.381805215 53.0122545065 20.7638307886 35.3231394341 17.4039871511
MRPS2 207.901992958 188.474229751 218.186412952 114.62357966 143.535041405 126.043957273
COL13A1 56.3272540455 69.7752120101 26.5823963192 13.1029516711 13.351630291 10.5847027731
APEH 110.630846407 126.907326328 54.466444233 50.6041420032 79.6176583064 78.2157520188
GOLGA3 107.969475821 66.6993202167 41.4281442161 62.7915210315 68.8584530356 61.350125235
VBP1 64.3707454371 141.821358217 65.5985060872 85.1435454773 59.351510947 54.4444566419
ARHE 33.5944690449 129.104253159 76.2652479471 76.7994695248 126.551635908 91.476900434
TAP1 176.353503117 170.414782917 287.499618169 286.846655912 437.062492403 362.059143417
KIAA0101 48.9441233488 97.8861688517 48.3377250395 47.992199802 37.2728837303 14.964777129
COL13A1 56.6777991379 71.676330996 27.5682043339 16.0463928814 13.9567949983 11.3063795763
HARSL 84.492410982 65.636960566 110.971461978 218.279717096 115.716547981 114.721933878
CHAF1B 84.1218674257 80.8613090244 61.9305850422 115.163966384 72.8603771959 40.4461553933
I_931921 91.2490412668 83.7366557262 109.75757075 171.967589172 129.505918548 101.613601208
CLECSF2 30.5489117572 66.2945436128 69.0630037187 129.402041046 63.711585972 63.9852223345
HBS1L 84.5897740246 100.090654395 61.8407243078 54.9294798288 67.5134731183 65.1775712861
MGC12335 123.9230979 172.307395868 80.3512382062 55.8712390407 84.3628515719 56.7770634935
CHAF1B 91.9629281436 83.6258937081 63.8059267879 117.99774883 72.2764397674 41.1200529958
RACGAP1 60.4048609883 29.156684366 23.0010883919 47.5763361725 32.7109361177 15.2730802819
I_963892 101.441400038 100.945346282 58.4540579522 42.1819131267 52.7265968318 31.8891997024
AK1 111.610635135 126.238894715 157.140573959 177.736718194 189.918352226 210.200802034
LMO2 51.4667741209 53.1567855136 42.8695109418 115.02537549 57.6031705224 49.7325634689
TMSNB 45.0489807186 131.613751851 87.478195385 97.7080742871 52.7912415875 33.5993915815
SSA1 93.419203062 219.73789289 360.540218243 287.068704266 179.430266971 135.725499753
LIN-7B 89.3152092445 115.950456024 95.4818831172 145.482684874 112.11895236 100.827685724
DBI 63.7043729958 142.920284708 117.622475491 97.3323246236 59.631256729 64.5635388166
RMP 103.886674844 84.2766826999 48.3516152578 53.919406211 71.7142811352 63.4194891695
TBC1D2 94.3423279676 45.3942513885 76.9229742443 105.000162454 160.456492376 146.52951402
SPP1 81.9729131865 150.225425898 152.804762302 119.828871905 151.993954797 183.470489124
CHAF1B 96.7251050067 81.7901457049 63.700212264 113.983876854 68.4405332192 38.8810464371
PLU-1 47.1746499909 43.875794561 66.2997363322 117.036686815 123.390740099 111.325102877
NUMB 60.2133717519 17.6829353048 19.0797426456 39.4585300115 38.3526671151 35.1552081341
MGC5254 51.4172489575 47.6631945425 33.0862097336 77.1212279534 56.2294733246 22.277293834
MT1F 98.2104691583 128.24504104 127.428483182 44.8611759647 78.891152293 70.9260279927
ZNF217 46.7914348356 80.2582086014 89.0333775662 144.36355894 166.469929749 164.820436729
LMO2 48.6392340795 48.9839554767 40.4724891536 115.771090888 57.8765317861 50.069773769
ADE2H1 68.782248661 96.8867425642 49.8162709756 51.4441716556 46.844662302 33.7135235085
I_960150 97.2327193138 83.8582282807 87.8583696914 57.554057878 73.7995871147 92.4428719342
PRKCI 72.9443099175 48.438678527 41.3515127742 105.761100131 99.8240427157 88.442376753
I_943976 105.560868239 102.04593049 84.8641649596 58.5535052909 63.2676228192 80.5819140431
COL13A1 57.2056125667 72.5970241737 28.9950499756 14.3897367166 12.3744767003 9.51015960726
CRIM1 101.933922103 75.225998908 45.2803412806 26.693795369 27.4791728807 24.493408835
DCLRE1A 65.3638628053 113.07450497 98.594664455 151.916820664 73.0094537522 48.7054481808
TBL1Y 165.75868374 60.1309515108 27.6568384403 30.6964294301 64.5675084889 47.1376091457
FLJ10134 37.3797146768 35.8869028842 29.6751460828 41.4453071559 30.3313982176 20.459651043
PROS1 38.966074886 126.423062012 85.6521988179 101.051687498 61.880359397 45.0953632849
ID3 190.1577832 191.93461314 77.3156419727 248.85720603 78.6373717358 69.9692182037
SLC16A1 64.4762280608 58.4229810864 66.3459683489 102.888274776 61.1694851757 51.6950672116
GTF3C3 86.9778409286 81.7070067786 58.5769130249 131.789119457 125.808209584 102.296345057
ERCC1 164.533987528 118.249172196 109.047318788 90.8441565001 170.377455799 254.147183554
SFRS3 75.2860083016 78.541354467 68.4083009732 76.1533084766 56.4110143504 36.9725984135
FLJ20421 59.5158753742 71.8133691117 51.4843326004 74.1275359434 52.4499733908 30.2388373562
PABPC1 141.749638116 92.686612401 70.8389969303 84.5088490964 114.213494072 108.496618043
LOC51246 134.240603242 100.113613714 125.914593231 168.746425693 242.20695168 201.088917445
DLX2 253.591997561 243.251960413 113.729391946 163.958875102 185.421783128 121.438683846
PTPRM 47.8735073166 68.5069321745 37.8807900659 37.0863052352 30.8931899567 13.1803079266
LMO2 50.885218184 51.0168220781 41.7448245503 114.078552959 59.6065610188 50.0312327041
FLJ10813 80.392609415 60.9896837405 62.6907920785 140.288171675 103.582187324 85.6754054929
NRGN 124.189965837 118.59299139 118.215974109 72.480621036 66.9852962226 56.9224064658
SLC20A1 106.138315697 45.0221886217 32.2072485423 52.1775105774 66.4927575655 62.989197233
SLBP 62.8065571154 107.257748762 66.1130355497 128.329822631 71.2694176938 43.3905637337
PRDX5 121.335428354 118.883389051 151.605095625 174.462871206 210.805789907 335.54523712
CGI-203 84.8084606485 104.065166618 69.2136901667 50.0873725584 44.4616951553 30.9908716096
SREBF1 102.340005713 83.8765102324 132.8308594 201.24092513 100.902793563 93.3016249162
IGFBP7 20.1807541257 97.2287742673 54.1827602422 68.910137011 49.1746523762 36.5019064431
I_939938 28.8814316625 29.5387811307 32.9949595225 104.870851616 43.0609726439 32.4033793993
DDX3 87.9312014931 56.0838829711 37.7416753345 88.2957444658 78.0834570503 63.7208531873
MSL3L1 63.0061184524 152.081258952 105.420806554 129.7172561 79.0479894026 67.7119472609
AREG 54.4208412731 40.3917851858 57.0461802273 22.3501495971 78.2118952026 50.9080694335
COL13A1 57.4577791813 72.9395143508 27.3274017476 15.1589763909 13.9961207253 9.91176484221
ARHE 35.2184144276 134.954296669 81.9693120588 76.610961505 132.260523864 93.6257442497
RAB6KIFL 76.3144968311 48.6697697988 33.0946548299 46.7093585127 31.151218707 14.0263480137
TRIP3 51.0491697924 122.119053424 98.6510721155 137.673112094 78.3418303285 52.837652856
I_966399 40.0017039553 75.7670980234 58.7033551887 128.494346673 73.8770489234 52.7377384275
LOC51071 69.2639712047 68.5627886785 21.4517804755 47.6712127177 42.1200664348 29.9956513746
I_1100019 78.2432279778 47.0872245546 26.015344392 59.9505507303 52.6352189188 39.3501988147
PSK-1 149.678919166 102.032160583 145.686656457 150.475575876 149.621298334 171.156099539
PSMA3 70.0889401581 112.602582227 50.6642985486 101.923487852 66.4424994922 53.4669468033
H2AFI 134.709948258 151.220997908 162.724202534 147.03096272 162.714454342 513.392205294
FLJ10156 77.8385632443 111.260007658 65.9439066584 61.5425738148 48.5699334261 23.0349262174
LSM3 58.5343818037 122.444280781 81.3084698592 86.6553160301 46.1188608649 37.7654609485
I_1000570 96.2418127783 108.943752811 121.637077994 190.928968532 95.2978413338 175.338188742
I_957067 54.0903184756 94.8750304058 90.2354901082 164.163925352 104.882828059 75.7716766067
Hs.37616 74.344988992 142.566939064 100.173796905 91.8172206644 52.9715599485 46.8593807135
FLJ20354 62.9758642042 45.7282759908 29.0341029355 30.0847145634 22.6890211075 10.1884180179
G0S2 86.4542456198 133.569428763 29.9914400393 52.7660298345 70.631622521 47.3022118621
H2BFS 125.087993683 93.9001677287 98.5147242157 58.0611543709 98.5483659522 194.309665588
UBA2 97.1625994568 52.8526848252 33.820551252 100.272367579 106.680468146 74.0482345265
MDS010 88.9712225091 173.127484261 161.155459753 288.981133575 172.232629209 162.337573335
I_1100555 59.8432377161 87.9987713554 70.656965875 233.964286614 150.54935697 145.059073251
FLJ12770 120.097733952 63.6496465987 83.5867995087 139.974604238 112.776844424 106.50762232
RAMP 76.8271294355 46.4211889532 51.5464296046 89.2792958054 73.3018240455 32.0823407993
TTC3 95.4050796659 98.9639132583 60.5166880002 55.6740190214 49.8318380846 41.6173907615
ADNP 76.2878284071 61.6263156163 94.707212859 139.977515346 157.677420813 120.493474557
DUT 64.2744234916 118.604050512 53.0059799941 87.3968738405 65.4619124495 52.1897079546
TRIP13 81.3853796967 92.8098265691 55.6255489259 55.7929095226 45.4500502314 19.6480007091
MO25 66.994175005 37.7250010756 38.0510464697 84.3830526676 72.8623950193 45.2942926912
HMGIY 186.059273171 106.148016055 161.799529328 39.7311613933 45.0177380053 70.0542506414
FLJ20364 35.6368285736 56.7951661125 27.6870281081 60.8425282854 39.7139241407 28.9548728776
PMAIP1 268.177077722 1178.61169771 437.528346192 237.12128829 222.019697102 192.138327019
I_957301 41.4393607767 117.452754841 59.8481624447 91.2500761531 59.006832609 27.7226326101
RPN2 69.2519146549 97.8601169493 103.666720873 110.012326135 68.1783379485 55.9613735719
MGC5528 69.4892918075 65.4794903971 45.8210140842 111.375207223 79.5783090602 46.4125258912
DLL1 98.4258527574 85.3830118465 47.5946007496 29.6824183866 45.577346125 38.4360190473
HRY 546.585583699 209.294429371 106.859433348 120.97940715 145.535086306 136.28785347
SEMA3C 93.2286197411 64.7088733633 31.4332062818 32.6155372453 55.1695422739 32.3852830608
SMARCA4 170.510510184 75.2939178194 53.7491596522 78.9156171844 101.371598713 92.2064761211
I_929608 73.7515568397 65.7927138472 68.0414150972 136.614308469 94.7732823723 58.866132666
DNAJA2 117.224830499 100.517469337 118.241475281 146.382671372 166.693134495 149.362086975
P5326 166.057229539 328.996276961 249.818750235 98.8970335761 145.646625608 165.367793246
TMSNB 39.7040115901 120.182599815 80.9349810325 97.8605384549 51.1802636355 31.3659424509
NXF1 179.100199954 368.871135434 314.354798839 166.165839357 142.25369277 107.023757755
DDX5 64.3815235571 97.2515969751 55.4022232182 119.232894432 76.5174364897 61.6863250635
CDC6 97.1888397528 149.608364753 91.4210330196 108.454330508 50.1543922187 27.7478724862
C20orf111 87.440356676 210.890842437 181.092450433 139.748193914 104.98797933 95.4072511274
MGC5528 66.0925531893 67.3709924451 43.0571390108 109.689274665 80.0915506497 47.256871917
I_1000372 89.4628451735 159.459051859 185.80853171 158.493810792 97.8558234474 74.1301794553
PTPN12 61.1101661657 22.2649207537 21.1074736909 58.2060841996 60.2446299043 42.5183068323
TGFBI 65.6256844228 54.8901602374 57.7095859808 67.6032418329 46.7326902824 27.158435338
RAGA 68.1834105341 85.2728195911 127.934107056 152.488825317 123.028456011 101.670350977
I_1100005 110.687798607 183.701868919 243.16202645 165.013907265 105.373727194 81.7998545502
P450RAI-2 112.4169512 96.1947410918 67.2645735446 66.598662081 151.839923646 110.778109861
COL13A1 57.4222394729 73.1999853558 29.8391678373 15.9717590848 15.1958739384 10.3474911373
RTN4 106.364693296 79.8283864679 51.8259356619 42.3226607772 36.9534149395 36.8562750318
SP192 92.1417500213 41.0136463386 50.8134566235 100.104141398 92.8874455753 75.0397965762
LOC51189 80.7570732259 122.761297733 115.702705767 144.010702801 100.860855124 132.068946942
FLJ12118 102.145865492 95.142091276 75.8372061866 46.5189948012 59.2613849965 51.0776063955
KIF1B 96.737547097 38.7745297835 49.7500387681 99.7051326413 136.363609901 95.2706705324
EZH2 49.2800535553 48.3895319882 33.1084145106 87.9608541644 57.1945440935 27.7392317064
TMEFF1 71.5469816786 75.3037192258 33.0299563689 54.775884591 61.4528330401 37.4987084364
ANKT 49.2276115507 49.729345234 24.4276290114 49.9445496756 33.0853484271 15.0037432347
I_959798 69.0516959278 135.707393252 121.587721921 132.63348086 103.23534162 71.6038921575
CTSK 53.923172828 121.838166459 106.740406524 208.163619842 111.668061229 88.2434773835
CDS1 84.5632299733 76.3795132436 82.3575434953 135.449801567 137.292291377 111.784807186
CPS1 105.740925199 97.2774143953 75.8490830105 64.1654577464 68.2655378084 55.3464134561
DKFZp762K2015 66.1332585221 45.6702872215 56.1692217121 105.974767335 83.4459450231 67.8537420595
CASP3 53.4381829489 138.541952665 73.8580371948 161.177715274 113.161185822 79.8265910487
LIMK2 76.6129685999 103.881130246 159.471528041 199.737080915 165.118457317 143.274566882
KATII 57.3977158139 111.556743827 88.2638432074 171.782039283 113.696366624 74.8741937984
PLRG1 90.100633574 143.314697562 137.115711233 164.851656854 112.171185385 111.360918297
FLJ22055 124.339182186 142.95971952 194.9511585 237.468984777 184.725552685 194.853211948
CPR8 76.1312399664 105.261467253 136.68468609 301.042075907 148.472384888 114.565588899
DREV1 106.863522645 91.9607517633 56.0914581178 55.1279378805 66.3296595458 64.8090679843
H2AFN 115.662598301 128.436807486 153.117999062 120.966418973 195.341816956 349.271897545
NRIP1 24.1577940797 18.9491203929 28.8398424825 69.1302027019 55.2512221806 37.4184257345
CCNG2 58.2097322628 79.0605927066 132.24428409 193.690433496 101.950744801 101.048715518
KIAA0992 115.085997691 61.8558166322 49.8970822491 69.3831806984 89.1349689349 73.1239183252
MAP2K3 156.85711457 95.345341209 70.0164413286 67.1365855941 98.9155695047 89.3397988806
PUM2 54.0990551707 24.9588662888 30.1620523509 86.015983047 72.8192302155 50.6603348856
SPP1 81.7666608758 151.435914808 149.723028132 120.203301699 154.681135686 181.122112862
I_1152259 137.748496965 50.9319710769 86.1833893016 118.285565666 144.651924649 133.545241722
RISC 63.1584572271 116.090294776 109.60763778 146.425631249 143.872881688 86.3418244997
I_931672 104.832915628 59.8092294529 81.6648019108 125.028338038 104.86742175 91.3028781967
CEP250 102.724366326 61.1850907594 64.3222021089 109.10067647 110.138315072 100.433154617
CCNA2 63.5032222767 44.8533781967 36.7921286351 47.1119297335 29.2228391632 16.3035988765
CCNA2 62.3840647339 46.9226433223 39.2137922639 46.5386997565 28.8377688679 15.4333410262
NDUFS5 96.1950840795 123.319571362 128.894742619 146.986374829 155.046990698 199.332825472
I_958969 115.709681847 86.4046221831 36.0309785013 34.504381389 44.5199138175 30.4185956054
RRM2 86.4619389003 63.7229501826 31.8079529917 47.9518496299 46.1641350151 24.7305522233
NDUFA2 65.3178179863 132.813147437 125.595261432 148.130365552 110.430247272 141.782474164
DEGS 95.9905246058 120.019125663 109.975310081 111.18133297 71.1136997619 65.3394487346
FLJ21034 90.9472499096 85.4543035992 61.8703916245 45.0865446867 79.0328269272 58.7365675514
C4orf1 65.54165554 73.7990772648 26.4801136468 58.3427542972 59.7118742012 45.6412636953
H2BFN 137.022862081 121.895175371 125.504819496 76.1582328322 118.130509509 180.278010243
SKIL 73.8841131029 142.31003084 125.727415672 215.565350336 78.8439633988 112.718604442
LOC51626 57.5991774342 92.3351294919 71.7452632624 144.574608661 93.6999718778 71.9989315243
PPP1R16A 59.6176873313 66.3840159928 82.8139166427 133.760617158 74.4416596895 66.0487641812
FLJ20364 34.3161973801 52.877831581 27.9791530536 58.4245589426 38.5392601459 28.6386488689
CAP350 57.9701602962 25.2095046048 55.8941767106 97.6030559253 76.7281881079 55.7574549894
DDR1 122.230718868 94.5503675137 127.988033248 232.416167497 161.03265669 359.426589538
DKFZP566B0846 82.1197636884 33.1806415205 43.1363559339 85.2451534958 90.5203129838 66.0765095305
TIMELESS 110.198073675 103.353120132 75.5259221464 118.751873217 76.6027730858 42.3613463605
I_930406 54.0632524404 69.9532102354 114.667656191 232.82758172 89.5488006457 110.684222225
LGALS8 89.0503860003 107.603401776 105.226687567 148.429255902 81.3550141889 79.2719178777
TSSC3 239.934485269 440.179573614 362.209667544 117.164230314 169.393589193 104.053484337
FLJ10156 76.7941814009 110.142518088 65.3513155276 61.5716102839 50.368638585 23.814013019
C20orf16 94.3221097974 127.413264342 178.463757767 264.267703846 286.068044489 318.784575118
SLC25A4 68.9931763587 151.852201359 122.702785221 223.21068376 125.535072717 105.529218737
AP1S2 52.8825092948 106.276427329 65.2303073368 77.095177563 42.8947122861 28.8323614402
DOC1 80.9711440065 94.3855704426 98.4831746079 125.026383629 112.540852578 154.100606827
POH1 81.8043894323 61.2343265782 27.903138262 56.6649904238 44.5968215213 34.0513455018
MRPS28 62.6423968149 102.208424224 45.0565318513 56.3629848699 50.7639501977 42.5366107109
TSGA 31.405159378 43.6164946829 42.7958474943 112.574149178 68.8837995301 47.4574611402
SERPINE2 109.589814688 111.256770457 121.529061602 77.2427876277 108.707203203 123.152925373
I_959992 63.9078137252 50.38411903 48.8706852882 104.733445863 82.6019633899 64.8802612543
CASP1 96.9660231313 146.524772769 153.541105107 278.212823557 224.723320512 230.507438128
GPC6 102.599274401 104.713390392 95.0537093222 30.6995082807 55.2110031361 34.8746906033
TPBG 59.2990685628 109.595476956 96.7986638726 95.8452338447 51.9178137106 43.5293516769
SPTAN1 133.614451911 61.7971381496 58.4559356335 113.811878657 170.2220625 141.982351212
I_1000349 68.3269707968 102.834591434 115.320241644 104.217376798 101.695460616 73.5436017788
MPPE1 82.7192223535 144.671396033 136.432359561 179.793563603 102.860040511 94.2843082459
GPR48 65.8114769272 28.2431858724 45.1518749011 115.325975206 85.0670757944 58.6334058749
S100A3 109.484893616 117.945770182 118.523890493 152.190941786 223.148888257 360.142955741
I_1152275 80.6748936507 79.5673857506 79.312860085 118.179340739 131.990841481 142.078861174
CAPZB 115.664414594 94.6916632458 73.0449696383 37.7601291439 47.0723840044 41.470149578
ORC6L 83.4436822247 166.138557687 111.477280478 97.2070462896 70.9910933805 48.0418511435
BUB3 78.0017527638 58.8990298849 47.4215257418 76.4624572252 66.6015742709 55.8965562334
WNT5B 134.66851533 90.0431317182 87.7970621213 60.8280174607 78.3339978676 80.4590458218
GNAI1 89.8323106381 71.715308171 91.2494770536 168.768598192 132.940165311 102.587935447
MGC12837 91.4243582013 92.7277634292 111.094913408 184.655729987 99.4106786589 136.038047229
STCH 79.7596032812 135.306384949 115.987486481 149.491253494 93.2261743148 78.920139976
CTPS 113.471015156 73.9118527294 49.9066598301 70.4740500337 75.9014403797 48.7581534867
SRM 245.860272687 157.282922937 186.821052798 97.4902379543 119.156319052 161.146969322
MADH2 115.069182761 73.3346978972 51.9892934208 67.0942997904 76.8122483984 73.6365213343
DDB2 95.4980214181 102.970144691 138.883227981 183.858948642 232.349262565 194.615713135
LMO2 50.4901738828 48.7490869786 43.5170267013 116.833572596 56.3470937646 50.9388468688
TFG 85.3442721111 52.2565801158 48.9960054845 121.118827132 106.204680947 78.7913635881
STCH 75.335513798 125.17041462 120.173303672 152.750436426 87.6877472642 79.8573340452
ITGB5 99.6096609212 89.2586648051 70.4608503462 52.5262759907 60.7107215118 44.939631695
FLJ12890 82.9915958874 48.881752756 42.8142970272 102.631505076 84.0234216274 65.4610814618
CHMP1.5 94.2315805887 233.283019916 219.399121039 198.322750206 146.949280274 141.538911946
I_959144 81.5708775512 38.0347777491 44.760442037 92.3665706249 100.38782922 68.5633628196
DKFZP564J157 127.874037772 114.031984856 136.419237977 188.590263661 201.520188127 174.424056404
I_964137 136.097642451 103.293477598 128.694449278 130.016843096 208.089450977 176.148056355
NMB 78.0561262524 133.594190047 166.910963982 247.702731715 177.884475393 140.745372656
IFI44 60.0301972267 78.8728274086 42.7896186639 95.8741916569 52.1684417713 36.221919027
HIRA 166.007983963 87.1276877731 48.0584301142 32.813824727 68.9865876995 49.902233515
YWHAZ 93.1815460712 77.2946902557 43.7621572662 63.9408917553 69.8736010529 57.1023333429
SPP1 85.4401561025 151.569619838 157.291772138 120.152657924 163.088323692 196.936120845
ODC1 185.015643872 298.866309594 150.458791849 123.120209529 147.034887586 111.298284205
NUP107 51.8737733246 64.0885071124 32.1181759722 76.6588230186 52.1268503495 33.1269964142
FLJ13449 41.0525197907 130.426959211 85.0632421002 102.155545025 63.4567887414 46.1016340085
NUDT5 103.054997719 111.981649706 78.123718242 114.20396762 174.902112682 164.902296214
I_937761 65.9822650529 37.794398582 53.883008519 120.272603401 115.349195099 75.8835894541
I_957301 39.8276806374 112.462547635 57.2710547239 91.5440978611 57.1021115352 27.0846415727
TNFRSF10C 134.950266889 119.838712314 133.326687855 187.537098618 299.328924944 248.246636711
FLJ10156 74.2446079286 108.435051687 65.0507875306 61.5933529826 52.0750319671 22.8835123667
KIF13B 122.403342702 44.1386711426 34.890177664 55.8744309718 71.630068956 52.5460667223
FBL 117.25892064 94.3565068496 72.0098153668 75.6687184239 70.1842427638 57.0333052215
WNT5A 67.8508988084 42.8313811337 27.1705562765 57.5821453977 50.300978569 31.5172009388
HSPA2 157.230846716 384.700958185 269.76380413 176.207590547 105.633046387 86.8639765127
UGCGL2 41.428385688 95.0073707259 72.0898073548 64.0222743182 40.9482363185 31.6288458199
AD-017 66.3189718102 62.6461143628 66.853745542 129.184871168 86.5149849779 71.3205680591
IMMP2L 69.227309144 70.9433081443 37.3686570403 32.3796746125 41.2377749785 18.8304051103
FLJ10773 103.437559443 55.860037994 25.5515279279 43.5539376242 53.800357517 39.4641443887
DDX18 83.867408986 82.1644124241 56.6983488807 112.4364854 98.1016640169 80.6154452087
COL13A1 57.5348989352 72.3087300647 30.2124318536 15.7885040017 13.0249847006 13.4163482142
QSCN6 92.2301462081 105.955572054 124.335245387 145.235886849 96.8216649381 82.7730142814
DHRS2 85.9087829473 92.6641771956 122.212863768 149.924481148 148.531204337 98.2115593064
FZD7 134.138620094 227.614974525 169.933055983 227.391643962 115.555159412 80.9475937673
ISGF3G 73.9483939208 63.6460754769 138.539901864 224.986435259 151.357914121 148.710332257
SENP2 107.692545 54.9931588644 73.2943466193 114.015158754 102.80385332 86.9928108127
MYOZ2 147.278756814 150.313451154 84.4197056437 52.9384390474 102.47577942 101.485093945
C20orf88 82.5553647554 93.357850404 44.521178061 34.7550592373 42.4797576028 26.8414389955
AP2B1 125.815147868 102.306517302 101.043463023 63.897399828 115.579306614 134.419882984
IGFBP3 22.8472740645 30.2926065004 15.7470693704 29.9067558084 12.8835624844 11.3437236576
CASP7 59.6095773371 89.7223461457 108.003992173 178.56935846 129.028856635 96.8785546864
I_1000133 94.76313425 42.1358183153 37.4194079099 55.7175052167 65.302400954 43.6350334735
FLJ21148 144.956589244 325.901309734 190.728880025 191.985242462 132.646485819 167.107438742
NUP88 105.772295809 89.065075175 33.5505136265 55.8521169114 67.3119671379 60.33407846
FLJ10462 95.6532095686 93.9004133659 54.4476472587 38.7352408962 56.4794994155 40.9671352309
PROL2 165.4177812 131.786455009 231.283934239 377.410711647 346.113742963 409.474238904
FLJ22202 162.717235533 93.5442993831 76.6358988072 38.1155366796 67.1427182339 59.0172421112
KIAA0697 126.991751886 26.7205299635 50.0531050604 85.600225186 90.345436557 107.43511254
PDCD8 125.779875091 107.676233898 71.2516244827 132.060585649 159.876260314 155.421886578
ZF 36.7475626291 83.6293326715 48.0108560805 71.6972931623 59.1654603385 28.5907391057
ADCY3 106.675889184 103.974618175 59.9953791251 62.6967458125 64.386163967 39.7197917505
FLJ22116 56.087450237 55.4944174249 58.2920451117 100.566294655 92.4751902799 71.9033640067
APG12L 72.8638369837 126.022806446 104.458926742 102.028910828 59.4704666772 55.8989619724
KIAA1449 67.4823498639 73.4425107729 94.6625410284 135.384374249 109.370083719 133.838297992
LOC51321 94.1885486379 100.295417244 92.9540927353 125.858847831 163.696954904 176.084984769
GPX1 93.0494389782 155.972870562 180.714551551 211.275289018 220.53339237 224.099718092
KIAA0483 73.0940837 64.4594614482 69.8152004407 113.337007596 130.561986121 104.82984007
PTPRN2 54.0088900677 112.54874018 84.4377789694 73.5718797208 56.668585578 53.4335251576
TDPGD 60.8289610708 106.123075624 73.3777485421 155.598936963 137.286699002 94.8854956158
UBL5 46.6596440932 109.279822166 90.9538154926 128.603664753 75.1846090036 101.502382834
FLJ11000 96.7806265333 100.342288775 165.057957952 211.478564505 100.548487355 127.708224977
MGC4701 39.9220814303 200.116895574 96.8806973673 128.895101331 85.4525289554 53.3038252078
ARHE 33.5816565298 128.909807448 77.1457567233 75.5215610502 127.066529222 88.7360209369
MATR3 58.8323684511 75.590497269 43.1051540896 83.3662241592 79.4974515625 59.7649121934
KIAA0738 137.812990645 90.914234632 109.076117696 146.41191917 119.613982257 132.612751245
I_929363 86.8703590768 83.8446001559 40.3472933392 60.179974814 76.9850272651 68.4447447308
PIGK 41.1278602178 113.766221621 83.4649795515 78.5125097229 69.9194936434 47.7468028531
CDC2 30.6040952619 56.1373758288 27.8781692088 45.8563369909 24.2805137175 16.2175073188
FLJ10569 89.3914920065 70.3073432717 65.408903648 155.055855109 129.93302515 115.691995204
PPP6C 85.8547135742 55.2757204881 38.6001379353 80.3493188043 106.080869002 77.9206236275
TCEA2 108.903957227 133.006675199 154.54973345 217.992120111 186.474827217 207.361137298
CTSF 68.6938314864 122.29584041 113.341864152 178.353010141 154.834311484 139.299665056
PCSK5 52.7372820766 48.3211264864 36.1077969567 51.4950587471 44.6138455002 19.9251222228
ASNS 191.891884061 257.009728627 418.032203517 217.122060171 193.994826931 207.486007663
HTGN29 54.5505422278 113.325690761 95.5742599401 137.02651485 92.3679085363 59.2935319618
IFI30 161.565064353 191.778926171 264.642889912 248.357860906 287.2908345 278.326324833
IDN3 80.4202829932 26.1242816594 41.8747875751 76.5863694634 72.3263040285 63.4880495096
HCS 115.911259335 175.708450158 127.274077607 98.730713548 86.0201925639 84.879131647
I_1109532 124.25182697 30.4708541309 41.1272713963 32.2639855761 48.6138016868 42.6251078335
MGC5528 74.368581465 67.3343562841 45.813289007 112.922349077 74.1940230258 47.0279033201
DUSP5 54.675255152 69.1947489063 45.1418979276 67.5606645421 128.29530717 94.625288644
RPL28 213.731375147 109.195605865 157.089440891 120.149368355 142.075290179 185.153667178
LMO2 52.5822495458 52.6224946716 39.1258674731 112.552687153 60.453488858 46.5403863409
SLIT2 124.482976156 114.410086336 104.569480566 89.5062770603 75.9330788889 90.2380018845
EBNA1BP2 96.1976529921 172.518883208 140.405669012 132.981266229 86.1156223673 81.4399587054
AIBP63 126.580826513 98.6069325634 96.5609150615 163.910109338 119.229910372 133.103569852
LOC51270 77.8164647831 69.9126047057 39.3246615182 52.5041323496 33.0849407494 28.044585496
C5orf6 152.897408577 261.85479551 295.797393748 221.53362197 147.940927115 139.459394122
TOMM20 92.902231082 100.566354185 71.3814246258 135.421583213 116.595653405 77.3700119613
PPP2R5E 87.4837497516 34.3452427856 23.1415191189 53.1852210224 60.0964654082 44.4982392701
LOC56920 113.804617135 90.3902867805 97.7852606749 75.4390416619 94.1798753304 104.324273073
AKR1B10 88.3296787736 137.419690892 97.4854028742 103.178274506 242.511413238 258.577346187
GSTT2 91.697540267 254.28255806 221.753533788 163.522794462 82.576991823 93.4331992966
CNN3 79.2761448515 82.5795687184 41.3849513624 69.3196504153 55.7264690061 49.285270799
MGC5309 63.5380262115 99.4184819068 94.2442295577 118.376578703 73.7927555617 52.129062986
SLC25A12 80.4310433562 54.3521857915 50.1179305916 98.5571105141 86.4462754141 80.2478627274
SERPINA1 122.067735432 109.733207145 101.565439006 112.850412813 204.989905846 274.520694953
